name,category,tier,deadline,eligibility,cost,aid,notes,url,source
National Merit Scholarship Program (Connecticut Context),ct_local,🟢 Watch List,PSAT/NMSQT taken in October of junior year (October 2026 for current 10th grader),Current high school juniors taking PSAT/NMSQT. U.S. high school students. High PSAT scores needed.,Free (PSAT fee ~$20),"National Merit Scholarships range from $2,500 to full tuition at sponsor universities. Some college-sponsored.",Plan for PSAT preparation. CT students compete within Connecticut/New England region for cutoff scores. High scorers may receive recognition and scholarships.; [DEAD: https://www.nationalmerit.org/],,https://www.nationalmerit.org/
CT High School Fencing Competitions (State & Regional),ct_local,🟢 Watch List,Season runs December-March. Varies by school/region.,Connecticut high school students on school or club fencing teams. USA Fencing membership required for national competitions.,Club/school fees vary. USA Fencing membership ~$75/year. Competition entry fees.,Limited aid available through USA Fencing. Mostly self-funded.,Student listed fencing as an interest. CT has active high school fencing scene. Can compete at state and New England regional level. Strong for college applications as a unique EC.,https://www.usafencing.org/,https://www.usafencing.org/
PSAT/NMSQT — October 2026 (School Day Window),exams,🟢 Watch List,2026-10-01,High school students in grades 9-12. Primarily taken by 10th and 11th graders. Only 11th graders qualify for National Merit Scholarship Program.,"~$18 (varies by school; set by district, not College Board)",Fee waivers available for eligible low-income students through the school.,Critical for Class of 2028 rising juniors who want to qualify for National Merit Scholarship Program. Register through school counselor — not available for individual registration. Score cutoff for National Merit semifinalist varies by state (CT: typically ~220/228).; [DEAD: https://satsuite.collegeboard.org/psat-nmsqt/dates-deadlines],,https://satsuite.collegeboard.org/psat-nmsqt/dates-deadlines
"ACT — September 19, 2026",exams,🟡 Prep Now,2026-08-14,All high school students. No grade-level restrictions.,"$68 (base: English, Math, Reading); $93 with Writing; $72 with Science; $97 with Writing + Science",ACT Fee Waiver program available for eligible low-income students (covers base registration fee).,"Available with optional Writing (essay) and optional Science sections. As of 2025, Science section is optional. No July test dates in New York.",https://www.act.org/content/act/en/products-and-services/the-act/registration.html,https://www.act.org/content/act/en/products-and-services/the-act/registration.html
"AP Exams — Week 1 (May 4-8, 2026)",exams,🟢 Watch List,TBD,Students enrolled in AP courses at their school. Must register through school AP coordinator.,$98 per exam (standard); $103 per exam (late order),AP Fee Reduction available ($36 per exam reduction) for eligible students with financial need. Additional College Board fee reduction available.,"AP Art and Design portfolio deadline: May 8, 2026 (8pm ET). AP Seminar/AP Research and AP Computer Science Principles performance task submission deadline: April 30, 2026 (11:59pm ET). Schools administer exams, not individual registration.; repeats annually, check for 2027 dates",https://apcentral.collegeboard.org/exam-administration-ordering-scores/exam-dates,https://apcentral.collegeboard.org/exam-administration-ordering-scores/exam-dates
"AP Exams — Late Testing (May 18-22, 2026)",exams,🟢 Watch List,TBD,Students approved for late testing through school AP coordinator.,$98 per exam (standard); $103 per exam (late order),AP Fee Reduction available.,"Late testing uses alternate exam forms for security. All students at a given school who test late must take exams on the scheduled late-testing dates at scheduled times.; repeats annually, check for 2027 dates",https://apcentral.collegeboard.org/exam-administration-ordering-scores/exam-dates/late-testing-dates,https://apcentral.collegeboard.org/exam-administration-ordering-scores/exam-dates/late-testing-dates
CLT — 2026-2027 Test Dates (Multiple),exams,🟢 Watch List,Varies by test date (typically 2-3 weeks before test date),"CLT: 11th and 12th graders. CLT10: 9th and 10th graders. Open to homeschool, private, and public school students.",~$50 (CLT 11/12); ~$40 (CLT10 9/10); remote proctoring may have additional fee,Limited fee assistance available. Check CLT website for current fee waiver policies.,"CLT is a college entrance exam alternative to SAT/ACT, emphasizing classical liberal arts content (reasoning, grammar, reading comprehension). Accepted at 250+ partner colleges. Remote proctoring available. CLT10 is appropriate for 10th graders (Class of 2028) for early practice. Check cltexam.com for specific date listings as they are updated regularly.",https://www.cltexam.com/,https://www.cltexam.com/
USA Fencing North American Cup (NAC) Series 2026-2027,fencing,🟢 Watch List,Varies by event; registration typically opens 6-8 weeks prior,"Open to all USA Fencing members; Junior (U20), Cadet (U17), Y-14 age categories available",$85-$175 per event + USA Fencing membership ($70-$100 annual),None,"CT-based fencers typically attend NACs in cities like Richmond, Charlotte, Baltimore, Kansas City, and others. Multiple NACs per season (typically Sept/Oct, Dec/Jan, March/April). Essential for national ranking and Junior Olympics qualification. Travel and overnight stays required.",https://www.usafencing.org/events-national,USAFencing.org
USA Fencing Junior Olympic Championships 2027,fencing,🟢 Watch List,"Registration typically opens December 2026, closes January 2027",Junior (born 2007-2010) and Cadet (born 2009-2012) divisions. Must qualify through NAC points or regional qualifying events.,$100-$200 per event + travel + accommodation,None,"Held in a different US city each year (recently: Denver, Louisville, Charlotte, Richmond). Major college recruiting opportunity. Highly competitive. CT fencers compete as part of New England section.; [DEAD: https://www.usafencing.org/junior-olympics]",,USAFencing.org
USA Fencing National Championships & July Challenge 2026,fencing,🟢 Watch List,"Registration typically opens in March, closes in May/June",Open to all USA Fencing members in good standing; age- and skill-appropriate divisions available,$100-$200 per event + USA Fencing membership + travel,None,"2026 Nationals likely in Columbus, Phoenix, or similar convention center city. One-week event. Major showcase for college recruitment. CT fencers travel with their clubs. Early registration strongly advised as events fill up.; [DEAD: https://www.usafencing.org/national-championships]",,USAFencing.org
New England Section (USA Fencing) Regional Competitions,fencing,🟢 Watch List,Varies by event; typically 3-4 weeks before each competition,"Open to USA Fencing members residing in the New England section (CT, MA, RI, VT, NH, ME)",$40-$80 per event,None,"Lower cost and closer travel than NACs. New England Section championships held annually in spring. Good place to earn national points. CT fencers typically attend sectional events in Boston, Providence, or occasionally CT itself.",https://www.usafencing.org/events-regional,USAFencing.org
Tim Morehouse Fencing Sleep-Away Camp (College Coaches & Olympians),fencing,🟢 Watch List,Rolling admission; early registration closes soon (as of June 2026),"Competitive fencers, typically ages 10-18 with prior fencing experience","$1,500-$2,500+ per week (estimated, varies by session length)",None,Located at a residential camp facility. College coaches in attendance — excellent recruiting opportunity. Tim Morehouse is an Olympic silver medalist. Sessions available throughout summer 2026. CT families can access from New Canaan location.,https://www.timmorehousefencing.com/sleep-away-fencing-camp,timmorehousefencing.com
Tim Morehouse Fencing Summer Day Camps 2026 (NYC & Westchester),fencing,🟢 Watch List,Rolling registration,Ages 6-14 (day camp format); beginner through competitive levels welcome,"$650/week new camper, $999/week standard, $3,500 unlimited Gold Summer Pass",None,"Accessible from CT via Metro-North or driving. Tim Morehouse also has New Canaan, CT presence. Day camp format — no overnight required. Great option if student is also looking to train in NYC.",https://www.timmorehousefencing.com/nyc-summer-fencing-camps,timmorehousefencing.com
"Candlewood Fencing Center (Danbury, CT) — Training & Local Events",fencing,🟢 Watch List,Ongoing enrollment,Open to all ages and skill levels,"Varies by program; monthly membership approx $100-$300, private lessons additional",None,"Danbury, CT location easily accessible from most of CT. One of the established fencing clubs in the state. Offers both recreational and competitive tracks.",https://www.candlewoodfencing.com/,candlewoodfencing.com
"Zeta Fencing (South Windsor, CT) — Training & Programs",fencing,🟢 Watch List,Ongoing enrollment,Open to all ages,Varies by program,None,"South Windsor, CT location. Offers competitive and recreational fencing programs. Eastern CT fencers may find this more accessible than Danbury-based clubs.",https://www.zfencing.com/,zfencing.com
Connecticut State High School Fencing Championships,fencing,🟢 Watch List,Varies by school; preseason typically November,Must be enrolled in a CT high school with a fencing team,"Minimal (school team fees, equipment)",None,Many CT private and magnet schools have competitive fencing teams. Public school participation varies. The CIAC sanctions fencing as a sport. School fencing runs winter season (December-February) typically.,https://www.casciac.org/,CIAC/CASCIAC.org
New England Fencing Conference (NEFC) High School Events,fencing,🟢 Watch List,Varies by event,High school students in New England,Varies; typically $20-$50 per event,None,"Complements USA Fencing competitions. Lower cost, local travel. Good for building competitive experience. Team and individual categories available.; [DEAD: https://www.nefencingconference.com/]",,nefencingconference.com
AskFred Fencing Tournament Database,fencing,🟢 Watch List,Varies by tournament (listed on site),Varies by tournament listing,Varies by tournament ($15-$60+ for local events),None,"This is THE source for finding all local and regional fencing tournaments. CT fencers can find events hosted by Candlewood Fencing, Zeta Fencing, and other regional clubs. Includes tournaments requiring USA Fencing membership and those that don't.",https://www.askfred.net/,askfred.net
"Ivy Fencing Club (New Haven, CT) — Programs & Camps",fencing,🟢 Watch List,Ongoing enrollment,Open to all ages,Varies by program,None,"New Haven, CT location. Check for summer camp availability and competitive training programs.; [DEAD: https://www.ivyfencingclub.com/]",,ivyfencingclub.com
Regeneron Science Talent Search (STS),general_competitions,🟢 Watch List,Early November (applications typically due November 1-15; applications open in August),"U.S. high school seniors (citizens, permanent residents, and students attending U.S. schools abroad). Must complete an individual research project and submit a written report, essays, and recommendations.",Free to apply. No application fee.,"Top 300 scholars: $2,000 each (+ $2,000 to their school). Top 40 Finalists: minimum $25,000, with top award of $250,000. Over $1.8 million awarded annually.","Most prestigious pre-college science competition in the U.S. Typically ~1,800-2,000 entrants annually. Requires significant original research with strong mentorship. Entire application (research paper, essays, recommendations, transcripts) due in November. Extremely competitive — roughly 300 scholars out of ~2,000 entrants.",https://www.societyforscience.org/regeneron-sts/,https://www.societyforscience.org/regeneron-sts/
National Merit Scholarship Program,general_competitions,🟢 Watch List,PSAT/NMSQT administered in October of junior year. Semifinalists announced in September of senior year. Finalists notified in February. Scholarship winners announced March-June.,U.S. high school students (citizens or permanent residents) in 11th grade who take the PSAT/NMSQT through their school. Must be enrolled in a traditional U.S. high school.,"Cost of PSAT/NMSQT exam (typically $18-20, often covered by schools or available with fee waiver)","National Merit $2,500 scholarships, corporate-sponsored scholarships ($2,000-$10,000/year), and college-sponsored scholarships (some covering full tuition). Approximately 7,500 scholarships totaling nearly $30 million.","Automatic consideration via PSAT/NMSQT — no separate application for initial screening. Semifinalists (~16,000) must submit detailed application with essays, activities, and SAT scores to become Finalists (~15,000). Selection Index cutoff varies by state — CT usually requires a very high score (221-223+ out of 228). Extremely prestigious; Finalist status is highly valued in college admissions.; [DEAD: https://www.nationalmerit.org/s/1758/22/nmc.aspx]",,https://www.nationalmerit.org/s/1758/22/nmc.aspx
We the People: The Citizen and the Constitution National Finals,law_civics,🟢 Watch List,2026-01-15 (state level varies by state; contact local coordinator),High school (grades 9-12); school-based teams,varies by state; national finals travel costs covered by sponsor for qualifying teams,Yes - financial aid available for travel to national finals via grants,"Highly prestigious. Teams prepare all year. Involves heavy research, writing, and oral advocacy. CT has active state program. Travel to DC for nationals is partially subsidized.",https://www.civiced.org/we-the-people/national-competitions,https://www.civiced.org/we-the-people/national-competitions
American Legion National Oratorical Contest,law_civics,🟢 Watch List,2026-12-01 (varies by state; check local American Legion post),High school students (grades 9-12); U.S. citizens or lawful permanent residents,Free to enter; travel costs for state and national finals covered by American Legion,"Yes - over $203,500 in scholarships awarded at national level","Established 1938. National finals held at Hillsdale College, MI. Top scholarship: $25,000+ for national champion. Strong track record for college admissions. Requires strong public speaking skills.",https://www.legion.org/oratorical,https://www.legion.org/oratorical
National Speech & Debate Association (NSDA) National Tournament,law_civics,🟢 Watch List,2026-03-01 (qualification varies by district),High school students (grades 9-12); must qualify through NSDA district tournaments,$50-150 registration; travel to nationals additional (~$500-1500),Yes - NSDA offers need-based assistance for national tournament attendance,"Congressional Debate and Lincoln-Douglas debate are most law-relevant. NSDA points system. National tournament draws ~6,000+ competitors annually. Very competitive for law-adjacent skills.; [DEAD: https://www.speechanddebate.org/national-tournament/]",,https://www.speechanddebate.org/national-tournament/
Yale Model Congress (YMC),law_civics,🟢 Watch List,2026-10-15 (fall session); 2027-02-15 (spring session),High school students (grades 9-12),$200-350 registration fee; travel and lodging additional,Yes - limited need-based financial aid available; inquire with organizers,Excellent option for CT-based student. Yale Model Congress is run by Yale undergraduates. Provides committee assignments and awards for best delegates. Strong resume builder.,https://yalemodelcongress.org/,https://yalemodelcongress.org/
Harvard Model Congress (HMC),law_civics,🟢 Watch List,2026-11-01 (for February 2027 conference),High school students (grades 9-12),$300-450 registration fee; travel and lodging additional,Yes - financial aid available based on need,Highly selective committee assignments. Supreme Court simulation is particularly relevant for law interest. Strong college admissions boost.; [DEAD: https://www.harvardmodelcongress.com/],,https://www.harvardmodelcongress.com/
Constitutional Rights Foundation (CRF) California Mock Trial Competition,law_civics,🟢 Watch List,2026-09-01 (state-level registration varies by state),High school students (grades 9-12); school-based teams,$50-200 per school team; travel for nationals additional,Yes - some state programs offer fee waivers,Connecticut Mock Trial is run by the CT Bar Association (https://www.ctbar.org). Students play attorneys and witnesses. National championship通常在May. Excellent for law career exploration.; [DEAD: https://crf-usa.org/mock-trial/],,https://crf-usa.org/mock-trial/
YMCA Youth & Government Program,law_civics,🟢 Watch List,2026-09-15 (state program registration varies by state YMCA),High school students (grades 9-12),"$150-400 per participant (covers training, materials, conference fees)",Yes - YMCA offers scholarships and sliding scale fees based on income,Includes judicial program (moot court) which is directly relevant to law interest. Conference at CT State Capitol. National Judicial Competition in Chicago. Strong leadership development.; [DEAD: https://www.ymca.org/what-we-do/youth-development/youth-government],,https://www.ymca.org/what-we-do/youth-development/youth-government
National Civics Bee (U.S. Chamber of Commerce Foundation),law_civics,🟢 Watch List,2026-01-31 (check local chamber of commerce for state deadlines),High school students (grades 9-12),Free to enter,N/A - No cost to participate,Cash prizes at state and national levels. National champion receives significant scholarship. Tests constitutional knowledge — great for law-interested students.,https://www.civicsbee.com/,https://www.civicsbee.com/
John Locke Institute Essay Competition (Law Category),law_civics,🔴 Action This Week,2026-05-31,High school students of any nationality; 18 years old or younger,Free to enter (nominal fee for late submissions),N/A - Free competition,Extremely prestigious for college applications. High commendation or winner status is very impressive. Law category directly relevant. No school affiliation required — individual entry.,https://www.johnlockeinstitute.com/essay-competition,https://www.johnlockeinstitute.com/essay-competition
Junior State of America (JSA) Conventions,law_civics,🟢 Watch List,2026-09-01 (for fall convention; ongoing membership),High school students (grades 9-12),$200-400 per convention (includes lodging and meals); membership fee ~$50/year,Yes - need-based scholarships available for convention fees,"JSA has a strong Northeast presence. Includes moot court competitions, debate, and bill writing. Student-led governance structure. Excellent for developing law and advocacy skills.; [DEAD: https://www.jsa.org/]",,https://www.jsa.org/
ACLU National Advocacy Institute,law_civics,🟢 Watch List,2026-03-15 (early); 2026-05-01 (regular),High school students (grades 9-12); rising 10th-12th graders preferred,"$1,500-2,500 (tuition); travel additional",Yes - need-based scholarships and fundraising support available,Excellent for law-interested students. Learn directly from ACLU attorneys. Includes moot court exercise. Strong networking opportunity. Cost can be a barrier but financial aid is available.; [DEAD: https://www.aclu.org/campaigns/national-advocacy-institute],,https://www.aclu.org/campaigns/national-advocacy-institute
Street Law Supreme Court Summer Institute,law_civics,🟢 Watch List,2026-04-01 (teacher application); student programs vary,High school students (grades 9-12); typically through school partnership,Free for selected teacher participants; student programs vary by partner,Yes - teacher program is fully funded; student programs may offer scholarships,Street Law also runs the national High School Moot Court Competition and provides classroom resources on landmark Supreme Court cases. Excellent for students interested in SCOTUS.,https://www.streetlaw.org/our-work/key-programs/supreme-court-summer-institute/,https://www.streetlaw.org/
Princeton Model Congress (PMC),law_civics,🟢 Watch List,2026-10-01 (for November conference),High school students (grades 9-12),$200-350 registration fee; travel and lodging additional,Yes - limited financial aid available,One of the oldest and most respected model congress programs. Supreme Court simulation allows students to write and argue opinions on constitutional cases. Strong resume builder.,https://pmc.princeton.edu/,https://pmc.princeton.edu/
National High School Moot Court Competition (Street Law / Supreme Court Historical Society),law_civics,🟢 Watch List,2026-10-01 (registration opens in fall; case released in October),High school students (grades 9-12); teams of 2-4 students,$100-200 per team; travel to nationals additional,Yes - travel scholarships available for national finals,Premier moot court competition for high schoolers. Arguing at the Supreme Court is a once-in-a-lifetime experience. Focuses on constitutional law and appellate advocacy. Highly recommended.; [DEAD: https://www.streetlaw.org/our-work/key-programs/moot-court-competition/],,https://www.streetlaw.org/
Close Up Foundation Washington DC Program,law_civics,🟢 Watch List,2026-02-01 (for summer sessions); rolling applications year-round,High school students (grades 9-12),"$2,000-3,500 (includes lodging, meals, program activities; travel to DC extra)",Yes - need-based scholarships and fundraising support available,Strong civics and government focus. Students attend Supreme Court oral arguments and meet with Congressional offices. Good for exploring law and policy careers.,https://www.closeup.org/,https://www.closeup.org/
National Student Leadership Conference (NSLC) - Law & Advocacy,law_civics,🟢 Watch List,2026-03-01 (early); rolling admissions thereafter,High school students (grades 9-12); rising 10th-12th graders,"$3,995-4,495 (includes room, board, activities, and materials)",Yes - limited need-based scholarships available,"Intensive law program featuring mock trial, legal writing, and constitutional law workshops. Taught by legal professionals. Includes trial competition component.",https://www.nslcleaders.org/youth-programs/law-advocacy/,https://www.nslcleaders.org/youth-programs/law-advocacy/
Bill of Rights Institute - We the Students Essay Contest,law_civics,🟢 Watch List,TBD,High school students (grades 9-12); U.S. citizens and legal residents,Free to enter,N/A - Free competition with cash prizes,"Cash prizes up to $5,000. Excellent for students interested in constitutional law. Provides published platform for winners. Can be done independently alongside other activities.; repeats annually, check for 2027 dates; [DEAD: https://billofrightsinstitute.org/contests/we-the-students-essay-contest]",,https://billofrightsinstitute.org/contests/we-the-students-essay-contest
National Constitution Center - Civic Life Competition,law_civics,🟢 Watch List,TBD,High school students (grades 9-12),Free to enter,N/A - Free competition,"The National Constitution Center in Philadelphia is a premier civics institution. Competition encourages practical application of constitutional knowledge. Scholarship prizes.; repeats annually, check for 2027 dates",https://constitutioncenter.org/learn/civic-life-competition,https://constitutioncenter.org/learn
American Mock Trial Invitational (AMTI),law_civics,🟢 Watch List,2026-01-15 (team registration by invitation),High school mock trial teams (grades 9-12); by invitation or qualifying record,$300-500 per team (registration); travel additional,Limited - some travel support for qualifying teams,"High-level competition against best teams nationally. Held at law schools like UCLA, Harvard Law, etc. Excellent resume builder for law-focused students.",https://www.amti.org/,https://www.amti.org/
Horatio Alger National Scholarship,scholarships,🟢 Watch List,2027-03-15,"High school seniors, US citizens, demonstrated financial need (under $65K household income), overcome adversity",Free,"$25,000",Requires significant financial need — does not match high-income profile. Included for completeness but should be filtered by coordinator.,https://horatioalger.org/scholarships/,Horatio Alger Association
Prudential Emerging Visionaries,scholarships,🟢 Watch List,2026-11-05,"Students ages 14-18, US residents, must have demonstrated innovative community service",Free,"$15,000 (top award) + $5,000 state awards",Good fit for students with community service and leadership. No financial need requirement. Applications typically open in September. Rising juniors can prepare by engaging in substantive volunteer work or starting a community project.; [DEAD: https://www.prudential.com/emerging-visionaries],,Prudential Financial
Ron Brown Scholar Program,scholarships,🟢 Watch List,2027-01-09,"Black/African American high school seniors, US citizens/permanent residents, demonstrated financial need",Free,"Full tuition, room, board, fees",Targeted to Black/African American students. Not applicable to Indian American profile.,https://ronbrown.org/,Ron Brown Scholar Program
National Merit Scholarship — Corporate-Sponsored,scholarships,🟢 Watch List,2026-10-15,National Merit Finalists; some corporate scholarships require parent employment at sponsoring company,Free,"Varies by corporation ($2,000–$10,000+, some renewable)","Worth checking if parents' employers have National Merit sponsorship programs. Also, companies like Lockheed Martin, Boeing, and others sponsor scholarships for all Finalists. Rising juniors should take PSAT/NMSQT seriously.; [DEAD: https://www.nationalmerit.org/s/1758/interior.aspx?sid=1758&gid=2&pgid=461]",,National Merit Scholarship Corporation
National Merit Scholarship — College-Sponsored,scholarships,🟢 Watch List,2026-10-15,National Merit Finalists who designate a sponsor university as first choice,Free,"Full tuition to $5,000+ annually (varies by college)","Many universities offer significant merit aid specifically for National Merit Finalists. USC, University of Oklahoma, Texas A&M, University of Arizona, and others offer full-tuition packages. Research which colleges offer the best NMSC-sponsored scholarships.; [DEAD: https://www.nationalmerit.org/s/1758/interior.aspx?sid=1758&gid=2&pgid=462]",,National Merit Scholarship Corporation
Discover Student Loans Scholarship,scholarships,🟢 Watch List,2026-12-31,"US residents ages 16+, enrolled or planning to enroll in college",Free,"$2,500 (monthly drawing)","Easy to enter, low probability but zero effort. Enter monthly. Good supplement for any student. No restrictions based on income or background.; [DEAD: https://www.discover.com/student-loans/scholarship.html]",,Discover Financial Services
Ronald Reagan Presidential Foundation Scholarship,scholarships,🟢 Watch List,2027-01-05,"High school seniors, US citizens, demonstrated leadership and public service",Free,"$10,000–$40,000 (one-time)",Emphasizes Ronald Reagan's principles of leadership. Rising juniors should build a strong record of community leadership and communication skills. Good fit for a student interested in law/civics.,https://www.reaganfoundation.org/education/scholarships/,Ronald Reagan Presidential Foundation
GE-Reagan Foundation Scholarship,scholarships,🟢 Watch List,2027-01-05,"High school seniors, US citizens, demonstrated leadership and community service",Free,"$10,000/year renewable (up to $40,000)","Renewable for four years — $40,000 total value. Need-blind selection. Rising juniors should develop strong leadership credentials.; [DEAD: https://www.reaganfoundation.org/education/scholarships/ge-reagan-foundation-scholarship/]",,Ronald Reagan Presidential Foundation / GE
Taco Bell Live Más Scholarship,scholarships,🟢 Watch List,2027-01-18,"US residents ages 16-24, enrolled or planning to enroll in college/vocational school",Free,"$1,000–$25,000 (one-time)",Unique format — submit a short video or essay about your passion. No transcript or test scores required. Good fit for profiling biology/law/fencing interests. Rising juniors can apply at age 16+.; [DEAD: https://www.tacobell.com/live-mas-scholarship],,Taco Bell Foundation
Burger King Scholars Program,scholarships,🟢 Watch List,2026-12-15,"High school seniors, US/Canada residents, no income requirement",Free,"$1,000–$50,000 (one-time)",Accessible scholarship — no income barrier. Emphasis on community service. Rising juniors should build community service record.,https://www.bk.com/scholars-program,Burger King McLamore Foundation
AXA Achievement Scholarship,scholarships,🟢 Watch List,2026-12-15,"High school seniors, US citizens, demonstrated ambition and achievement",Free,"$10,000–$25,000","Good fit for students who can demonstrate achievement in extracurricular activities (fencing, biology, law-related activities). Check if AXA still offers this program.; [DEAD: https://www.axa.com/en/about/scholarships]",,AXA Foundation
National AP Scholar Award,scholarships,🟢 Watch List,Rolling (based on AP exam scores released in July),High school students taking AP exams,Free,Recognition — no direct cash award (can be listed on college applications for merit scholarship consideration),"While not a direct scholarship, earning National AP Scholar designation can strengthen applications for university merit scholarships. Rising junior should plan AP course load accordingly.; [DEAD: https://apcentral.collegeboard.org/awards-recognitions/ap-scholar-award]",,College Board
President's Volunteer Service Award,scholarships,🟢 Watch List,Rolling,"US residents, must track and document volunteer hours through certifying organization",Free,Recognition award (letter signed by President + medal/pin),"Good to pair with other scholarship applications. While not a direct scholarship, many scholarship programs look favorably on community service recognition.",https://presidentialserviceawards.gov/,AmeriCorps / White House
National Security Language Initiative for Youth (NSLI-Y),scholarships,🟢 Watch List,2026-10-15,"US high school students ages 15-18, US citizens, no income requirement, no language experience required",Free (fully funded),"Full cost of summer or year-long language study abroad (value $10,000–$20,000+)","While not a traditional 'scholarship,' this is a fully-funded study abroad program. Good for Indian heritage connection through Hindi language study. Rising juniors (15+) can apply.",https://www.nsliforyouth.org/,US Department of State
National Youth Science Camp (NYSC),scholarships,🟢 Watch List,2027-02-28,"High school seniors (graduating), US citizens, strong STEM interest",Free (fully funded including travel),"Full scholarship to month-long residential camp (value ~$5,000)",Excellent for biology-focused students. Fully funded. CT delegates are selected through state selection process. Rising juniors should focus on building strong STEM credentials.,https://www.nyscamp.org/,National Youth Science Foundation
Bank of America Student Leaders Program,scholarships,🟢 Watch List,2027-01-15,"High school juniors and seniors, US citizens/permanent residents, community involvement, minimum 3.0 GPA",Free,"$5,000 scholarship + paid summer internship + all-expenses-paid DC summit",Excellent for students interested in law/civics. The DC leadership summit provides exposure to national policy. Rising junior is eligible. Application opens in fall.,https://about.bankofamerica.com/en/making-an-impact/student-leaders,Bank of America
Subaru Scholarship Program,scholarships,🟢 Watch List,2027-03-01,"High school students, US residents, demonstrated merit and community service",Free,"$2,500–$5,000 (one-time)",Modest award but accessible to all. Check Subaru's website for current program details.; [DEAD: https://www.subaru.com/owners/subaru-scholarship.html],,Subaru of America
