name,category,tier,deadline,eligibility,cost,aid,notes,url,source
PSAT/NMSQT (National Merit Qualifying Test) - October 2026,exams,🟢 Watch List,"2026-10-17 (school-day window Oct 1-30, 2026; Saturday option Oct 17, 2026; registration is through the high school, so contact the school counselor NOW - school deadlines are typically late Sept/early Oct 2026)",U.S. high school students; for National Merit qualification the test must be taken in the student's junior year (2026-27 for Class of 2028),~$18 per test (schools often cover or waive this; fee waivers available for eligible students),"N/A (test fee only). Top scorers qualify for National Merit recognition: $2,500 NMSC scholarships and corporate/college-sponsored awards",Test is digital (Bluebook app). CT schools typically administer on a school day in October; check with the school's AP/guidance office about which date and how to register. SAT Suite fee waiver covers the PSAT/NMSQT fee for eligible students. Scores released ~early-mid December 2026.,https://satsuite.collegeboard.org/psat-nmsqt/test-dates,satsuite.collegeboard.org/psat-nmsqt/test-dates (verified 2026-08-03)
SAT - 2026-27 National Test Dates,exams,🟢 Watch List,"Next deadline: 2026-08-07 (Aug 22 test); then Aug 28 (Sep 12), Sep 18 (Oct 3), Oct 23 (Nov 7), Nov 20 (Dec 5), Feb 19, 2027 (Mar 6), Apr 16, 2027 (May 1), May 21, 2027 (Jun 5). Late registration (~4 days later, +$38) available worldwide.",Open to all U.S. high school students; no age or grade restrictions,$68 registration fee (+$38 late registration; +$34 change/cancel fee),"Fee waivers available for eligible low-income students (waives registration, includes 2 free score sends and other benefits)","Digital SAT via Bluebook. Scores typically in ~13 days. Deadlines expire 11:59 p.m. ET. Fall 2027 dates (Aug 28, Sep 18, Oct 2, Nov 6, Dec 4) and spring 2028 dates (Mar 4, May 6, Jun 3) also published for planning. Juniors aiming for early admissions should target a final SAT by spring 2027 or summer 2027.",https://satsuite.collegeboard.org/sat/dates-deadlines,satsuite.collegeboard.org/sat/dates-deadlines and /sat/registration/fees-refunds/test-fees (verified 2026-08-03)
ACT - 2026-27 National Test Dates,exams,🟢 Watch List,"Next deadline: 2026-08-14 (Sep 19 test; late reg until Sep 1 +$42); then Sep 11 (Oct 17; late Sep 29), Nov 6 (Dec 12; late Nov 29), Jan 22, 2027 (Feb 27; late Feb 9), Mar 5, 2027 (Apr 10; late Mar 23), May 7, 2027 (Jun 12; late May 25), Jun 4, 2027 (Jul 10; late Jun 22). Deadlines 11:59 p.m. CT.",Open to all U.S. high school students; no age or grade restrictions,$70 base (English/Math/Reading) + $5 Science add-on = $75 full test; +$42 late registration; $44 test-date change fee,ACT fee waivers cover the full test fee for eligible students (up to 4 waivers); ACT also provides free test prep resources,"NOTE: Oct 17, 2026 ACT date falls on the same day as the PSAT/NMSQT Saturday administration - pick one. Scores released ~2-4 weeks after test. CT public school juniors also take the SAT (not ACT) on a state school day in spring; ACT is the private-option alternative. Projected 2027-28 dates (Sep 11, Oct 16, Dec 11, 2027) also published.",https://www.act.org/content/act/en/products-and-services/the-act/registration/test-dates.html,act.org test-dates page and act.org registration/fees page (verified 2026-08-03)
AP Exams - May 2027 (2027 administration),exams,🟢 Watch List,2026-11 (fall 2026 registration window; exact deadline set by each school's AP coordinator - ask in September; College Board ordering deadlines for schools are typically early-mid November 2026),Students enrolled in (or self-studying) AP courses; registration via the high school's AP coordinator - homeschooled students can arrange testing at a local school that administers AP Exams,$99 per AP Exam (2026 fee; 2027 fee expected similar) + possible school administration fees; $129 per exam for late/undesignated orders,$37 College Board fee reduction per exam for students with significant financial need; some states add further subsidies,Late-testing dates published separately (typically following week). 2027 start-time changes in some locations to prevent content disclosure. CT public schools charge fees per district policy; ask the AP coordinator about total cost and any CT state fee support. AP scores released early July 2027.,https://apcentral.collegeboard.org/exam-administration-ordering-scores/exam-dates,apcentral.collegeboard.org exam-dates and apstudents.collegeboard.org register-for-ap-exams / exam-fees (verified 2026-08-03)
CLT (Classic Learning Test) - 2026-27 Test Dates,exams,🟢 Watch List,"Next deadlines: 2026-08-13 (Aug 22 remote test); then Sep 10 (Sep 17 remote), Oct 8 (Oct 17 remote), Oct 14 (Nov 14 in-school), Nov 5 (Nov 14 remote), Dec 3 (Dec 8 remote). 2027 dates include Jan 23, Feb 18, Mar 20, Apr 17, May 22, Jun 17 (deadlines ~9-10 days prior).",Open to 11th and 12th grade students (CLT10 is the version for 9th/10th graders); no citizenship restrictions,$112 per test (remotely proctored; in-school pricing set by school),CLT fee waivers/assistance available for students with financial need (contact CLT); many colleges award merit scholarships based on CLT scores,"Good fit for classical/liberal-arts curricula - sections are Verbal Reasoning, Grammar/Writing, Quantitative Reasoning. Verify target colleges accept CLT before choosing it over SAT/ACT. Full 2026-27 date list also available as a downloadable PDF from the CLT site.",https://www.cltexam.com/tests/clt/,cltexam.com/tests/clt/ (verified 2026-08-03)
Connecticut SAT School Day - Spring 2027 (CT public schools),exams,🟢 Watch List,2027-04 (spring 2027 administration date TBA by CT State Dept. of Education in fall 2026; no student registration - administered automatically at school; students needing accommodations should request them via their school in fall 2026),All Connecticut public high school juniors (Class of 2028); private/homeschooled students not covered by the state administration,Free for CT public school students (state-funded; includes fee waiver benefits such as free score sends),Free test; CT pays for the administration - no out-of-pocket cost to families,"2026 CT administration was April 14, 2026; 2027 date typically falls in the same early-to-mid-April window. Great no-cost first SAT attempt for a rising junior - plan to also take the Oct 3 or Dec 5, 2026 SAT if aiming for a fall 2027 test cycle. Check the CT SDE page after Sept 2026 for the exact 2027 date.",https://portal.ct.gov/SDE/Student-Assessment/SAT-School-Day,portal.ct.gov/SDE/Student-Assessment/SAT-School-Day (page live; exact 2027 date not yet posted as of 2026-08-03)
"USA Fencing 2026-27 National Events Season (NAC series, Summer Nationals, membership & classifications)",fencing,🟢 Watch List,"Rolling per event - October NAC registration opens Aug 5, 2026 (regular fee deadline Sep 2, 2026); Junior Olympics registration opens Sep 30, 2026 (regular fee deadline Nov 11, 2026); each event has its own window","U.S. residents with valid USA Fencing membership; Competitive membership required for regional/national competition; age categories by birth year (2026-27 season): Y10 born 2016+, Y12 born 2014+, Y14 born 2012+, Cadet born 2010+, Junior born 2007+, Division I/II open",USA Fencing Competitive membership $99/yr (Access membership $34 for local-only); NAC entry fees vary by event (typically ~$85-$130 per event plus admin fee); travel/hotel extra (official housing via Fastbreak Travel),None directly; need-based GRACE program waives NAC entry/admin fees (need-based - excluded from this profile's list per selection criteria),"Bookmark this page plus usafencing.org/regional-calendar. New for 2026-27: event combos restructured so Div I, Cadet and Y14 share the October NAC; Feb/Mar NAC cities TBA. Athlete Handbook (usafencing.org/rules-compliance) has qualification pathways and points tables. Hotels book through Fastbreak.AI official housing.",https://www.usafencing.org/events-national,"usafencing.org/events-national, usafencing.org/membership, usafencing.org/news/2026/july/15/2026-27-event-combos-revealed-nine-stops-and-who-fences-at-each-one (fetched 2026-08-03)"
"October 2026 North American Cup (NAC) - Orlando, FL",fencing,🟢 Watch List,"Registration opens August 5, 2026 12:00pm ET; Regular Fee Deadline September 2, 2026; Withdrawal Deadline (50% refund) September 16, 2026; Classification Change Deadline October 7, 2026","Competitive USA Fencing members; Division I (open to all, usually A/B/C rated or top point earners), Cadet (born 2010+), Y14 (born 2012+), Cadet Team",Event entry fees vary (~$85-$130 per event typical); Competitive membership ($99) required; hotel via Fastbreak.AI official block,None (need-based GRACE fee waivers exist but are excluded per profile selection criteria),"Orlando is the season opener and now combines Division I + Cadet + Y14 under the new Aug 1, 2026 points/events structure. Hotel booking already open. Watch for the registration-open announcement; NAC fields cap and late fees apply after Sep 2.",https://www.usafencing.org/2026-october-nac,usafencing.org/2026-october-nac (fetched 2026-08-03)
"November 2026 North American Cup (NAC) - Columbus, OH",fencing,🟢 Watch List,"Registration links 'going live shortly' as of Jul 16, 2026 (per USA Fencing); watch usafencing.org/events-national and the November NAC page for the open date and deadlines","Competitive USA Fencing members; Division I (open), Junior (born 2007+), Cadet (born 2010+)",Event entry fees vary (~$85-$130 per event typical); Competitive membership ($99) required; travel/hotel extra,None (need-based GRACE fee waivers excluded per profile criteria),Hotel booking for Columbus is already open via Fastbreak.AI. Junior national points earned here feed Junior Olympics qualification and national rankings for the 2026-27 season.,https://www.usafencing.org/2026-november-north-american-cup,usafencing.org/events-national + usafencing.org/news/2026/january/13/two-more-2026-27-season-dates-announced (fetched 2026-08-03)
"December 2026 SJCC (Super Junior/Cadet Circuit Championships) - Milwaukee, WI",fencing,🟢 Watch List,"Registration window TBA (posted on the event page; SJCC registration typically opens ~4-6 weeks prior, i.e., late Oct/early Nov 2026)",Competitive USA Fencing members; Junior (born 2007+) and Cadet (born 2010+) categories,Entry fees vary (~$85-$130 per event typical); Competitive membership ($99) required; travel/hotel extra,None (need-based GRACE fee waivers excluded per profile criteria),SJCC results carry extra weight for national points and JO seeding. Milwaukee is a ~2 hr flight or ~14 hr drive from CT - combine with the November Columbus NAC (Nov 20-23) for an efficient Midwest trip.,https://www.usafencing.org/2026-december-sjcc,usafencing.org/events-national + usafencing.org/2027-junior-olympics-january-nac (fetched 2026-08-03)
"2027 Junior Olympics & January NAC - Oklahoma City, OK",fencing,🟢 Watch List,"Registration opens September 30, 2026 12:00pm ET; Regular Fee Deadline November 11, 2026; Qualification Deadline December 9, 2026; Withdrawal (50% refund) December 16, 2026; Petition Deadline December 13, 2026","Competitive USA Fencing members who are age-eligible AND qualified: Junior (born 2007+), Cadet (born 2010+), Junior Team; qualification via national points earned at NACs/SJCCs or petition by Dec 13, 2026",Entry fees vary (~$85-$130 per event typical); Competitive membership ($99) required; travel/hotel via Fastbreak.AI official block,None (need-based GRACE fee waivers excluded per profile criteria),"This is the 'culmination of the season' for Junior/Cadet fencers, with national titles and championship medals on the line; also a marquee resume credential for college recruiting. Qualifying windows and points tables are in the Athlete Handbook (usafencing.org/rules-compliance).",https://www.usafencing.org/2027-junior-olympics-january-nac,usafencing.org/2027-junior-olympics-january-nac (fetched 2026-08-03)
"2027 Summer Nationals / National Championships & July Challenge - Salt Lake City, UT",fencing,🟢 Watch List,"Event runs July 2-11, 2027; registration typically opens ~April 2027 with regular-fee deadline ~late May/early June 2027 (exact dates posted closer to the event)","Competitive USA Fencing members; qualification required for many events (national points, SJCC/JO results, Division Qualifiers for Div I/II/III); Junior (born 2007+) and Cadet (born 2010+) categories; Division I/II/III open by classification/points",Entry fees vary by event (~$85-$130 typical; Div I/team events higher); Competitive membership ($99) required; travel/hotel extra (SLC hotel block via Fastbreak.AI),None (need-based GRACE fee waivers excluded per profile criteria),10-day event = major travel/family commitment; early hotel booking strongly advised. Summer Nationals national-champion titles are a standout line on college fencing recruiting profiles (Ivy League and other varsity programs recruit heavily from Junior/Cadet national results).,https://www.usafencing.org/2027-summer-nationals-july-challenge,usafencing.org/events-national + sportstravelmagazine.com/usa-fencing-bringing-summer-nationals-to-salt-lake-city-in-2027 (fetched 2026-08-03)
Connecticut High School Fencing State Championships (CHSFA),fencing,🟢 Watch List,2026-27 deadlines (per 2025-26 cycle): Dec 30 - team intent-to-compete forms; Dec 31 - independent fencer appeals; Jan 9 - independent fencer registration; Jan 15 - final weapon/squad assignments; Feb 13 - entry forms & payments due. Championships expected early March 2027.,"Students on CHSFA member school teams in CT, or independent fencers who appeal by Dec 31 (independent fencers must have no school team in their weapon or meet hardship criteria); must be enrolled in a CT high school","Entry fees per CHSFA rules (nominal, set by the association); team/school registration via coach",None,State champion titles add a strong regional credential. CHSFA's season runs roughly January-March; check chsfa.org for 2026-27 dates (2026 season was the model above). Contact CHSFAboard@gmail.com for independent fencer questions.,https://www.chsfa.org/state-championships,chsfa.org/state-championships + usafencing.org Instagram/CT coverage (fetched 2026-08-03)
"Northeast Regional Circuit (RYC/RJCC/ROC) - incl. Premier Challenge, Suffern NY",fencing,🟢 Watch List,"Premier Challenge runs Sep 25-27, 2026 - registration typically closes ~1 week prior (mid-Sep 2026); other regional events post rolling deadlines on askfred.net / fencingcalendar.com","USA Fencing members; RJCC = Junior (born 2007+) & Cadet (born 2010+), ROC = open Div I/II/III, RYC = youth age bands; eligibility varies by event",Entry fees typically ~$25-$70 per event (much cheaper than NACs); Competitive or Access membership ($34/$99) plus event fees; local travel only,None,"Use fencingcalendar.com and askfred.net to filter Northeast-region events by weapon/age/date; the USA Fencing regional calendar lists all sanctioned events. Candlewood Fencing Center (Newtown/Norwalk, CT - CT's premier club, 111+ hosted tournaments) is the home base to train and find local events. Classification upgrades earned at ROCs/RJCCs directly improve NAC seeding.",https://www.usafencing.org/regional-calendar,"usafencing.org/regional-calendar, fencingtracker.com/tournament/1685 (Premier Challenge), fencingcalendar.com (fetched 2026-08-03)"
Princeton University Fencing Camp (elite overnight camp),fencing,🟢 Watch List,Registration closes 2 days before each camp start; camps routinely FILL before the deadline - early registration strongly recommended. 2027 sessions/registration typically open ~December 2026-January 2027.,"Open to any and all entrants, limited only by number, age, grade level and/or gender; 2026 camps were for students entering grades 5-12 in September 2026","$1,450 day camper / $1,700 overnight camper per week (2026 pricing)",None published (need-based programs excluded per profile criteria),"Run by Princeton's fencing staff; focused individual development plus new technique, all weapons. The 2026 PDF schedule (princetonsportscamps.com) confirms exact session structure. Book early - these are among the most competitive university fencing camps in the Northeast corridor.",http://www.princetonsportscamps.com/Camps/fencing.htm,princetonsportscamps.com/Camps/fencing.htm (fetched 2026-08-03)
Tim Morehouse Fencing Club Elite Camps (NYC),fencing,🟢 Watch List,"Multiple sessions year-round, including summer 2027; specific 2027 camp dates/registration posted on the site - check early (camps cap enrollment)",Competitive youth fencers (typically Y12 through Junior ages); prior competitive experience expected for 'elite' sessions,Varies by session/length (5-day elite camps typically several hundred dollars; exact pricing on the registration page),None published,"Tim Morehouse is a two-time Olympic saber medalist (2008 silver, 2016 team) and USA Fencing board member; his camps are among the most accessible elite programs for Northeast fencers. Combine with a visit to Candlewood or another home club for year-round continuity.",https://www.timmorehousefencing.com/elite-fencing-camps,timmorehousefencing.com/elite-fencing-camps (fetched 2026-08-03)
Regeneron Science Talent Search (STS),general_competitions,🟢 Watch List,"November 5, 2026, 8pm ET (2027 cycle; application period June 1 - Nov 5, 2026). NOTE: this deadline is for the Class of 2027 (current seniors). Class of 2028 applies in fall 2027 for STS 2028.",High school seniors in the U.S. (including U.S. citizens studying abroad); also students who have completed high school graduation requirements but have not yet enrolled in college,Free (no application fee),"$3.1M in awards annually; $250,000 top prize; all 40 finalists receive at least $25,000","Requires a full application: original research report, essays, transcript, and recommendations. Roughly 300 of ~2,600 applicants become Scholars (announced Jan 2027 for this cycle); 40 Finalists advance to Finals Week in Washington, D.C. (March 2027). Prestige is extremely high for selective college admissions.",https://www.societyforscience.org/regeneron-sts/,societyforscience.org/regeneron-sts/ (fetched 2026-08-03)
National Merit Scholarship Program,general_competitions,🟢 Watch List,October 2026 (PSAT/NMSQT administered at school during the October testing window - exact date set by the school; registration typically opens in early fall 2026),"U.S. high school students who take the PSAT/NMSQT in their junior year (11th grade); must be U.S. citizens or lawful permanent residents intending to become citizens at the earliest opportunity, and enrolled in high school progressing normally toward graduation",Free (no application fee; entry is automatic via the PSAT/NMSQT taken at school),"National Merit $2,500 Scholarships, corporate-sponsored scholarships (up to $10,000), and college-sponsored scholarships; Semifinalist/Finalist status alone is a major admissions credential","No separate application to enter - the PSAT/NMSQT Selection Index determines recognition. About 16,000 Semifinalists (top scorers per state; CT is a competitive state) must submit a detailed application in senior year (essays, activities, school endorsement, confirming SAT scores) to become Finalists. Qualifying scores vary by state.; [DEAD: https://www.nationalmerit.org/]",,"nationalmerit.org (official site blocked by bot protection; facts cross-checked via en.wikipedia.org/wiki/National_Merit_Scholarship_Program, fetched 2026-08-03)"
Coca-Cola Scholars Program,general_competitions,🟢 Watch List,"September 30, 2026, 5pm ET (2027 cycle, for students graduating in the 2026-27 school year); Phase 1 application opens August 3, 2026","High school/home-schooled students in one of the 50 U.S. states, DC, Puerto Rico, or select DoD schools who will graduate during the current academic year (2026-27 for the 2027 cycle); U.S. citizens, nationals, permanent residents, refugees, asylees, Cuban-Haitian entrants, or humanitarian parolees; minimum 3.0 GPA; planning to attend an accredited U.S. post-secondary institution. International students not eligible.",Free (no application fee),"$20,000 per scholar; 150 scholars selected per year; foundation has awarded $90M+ since 1986","Phase 1 is fast - no essays, transcript, or recommendations. About 1% of applicants become Semifinalists (~1,200), then 250 Regional Finalists interview in late Jan/early Feb, and 150 are selected in April. Strong fit for students with community leadership and service impact.",https://www.coca-colascholarsfoundation.org/apply/,coca-colascholarsfoundation.org/apply/ (fetched 2026-08-03)
Davidson Fellows Scholarship,general_competitions,🟢 Watch List,"2027 application opens in Fall 2026 (initial eligibility portion should be submitted as early as possible); 2026 deadline was February 18, 2026 11:59pm PT - expect ~mid-February 2027 for the 2027 cycle","U.S. citizens residing in the U.S., or U.S. permanent residents residing in the U.S. (or stationed overseas on active U.S. military duty); 18 years or younger as of the application deadline; must have completed a significant piece of work in an eligible category; two-person teams eligible; must attend an awards reception in Washington, D.C.",Free (no application fee),"$100,000, $50,000, or $25,000 scholarships (judges determine level)","Community service projects are NOT accepted, nor are essays about future majors. Two-part application: initial eligibility submission (reviewed in 1-2 business days), then nominator forms and category requirements. All applicants notified on or before July 15. Judges screen for plagiarism and AI-generated content.",https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,davidsongifted.org/gifted-programs/fellows-scholarship/ (fetched 2026-08-03)
U.S. Presidential Scholars Program,general_competitions,🟢 Watch List,"Application opens in January and closes in late February of the senior year (2026 cycle applications closed ~late February 2026; for the Class of 2028, expect Jan-Feb 2028)",U.S. citizens or legal permanent residents who graduate (receive a diploma) between January and August of the program year; general component: score exceptionally well on the SAT or ACT (tests taken between August of junior year and October of senior year) or be nominated by a Chief State School Officer or partner recognition organization; arts component via arts nomination; CTE component via CSSO nomination,Free (no application fee),"Honorary national recognition - no cash award; Presidential Scholars medallion and Washington, D.C. recognition events","The general component has NO direct application - students are identified from SAT/ACT score reports, so do NOT opt out of score release to College Board/ACT. Students can also be nominated by their state's Chief State School Officer. 2026 semifinalists were announced May 22, 2026.",https://www.ed.gov/grants-and-programs/recognition-programs/us-presidential-scholars-program,ed.gov/grants-and-programs/recognition-programs/us-presidential-scholars-program (fetched 2026-08-03)
Regeneron International Science and Engineering Fair (ISEF),general_competitions,🟢 Watch List,Varies by affiliate fair - students must win top honors at a Society-affiliated local/regional/state fair first (typically held fall 2026 - spring 2027 in CT); 2027 ISEF finals expected May 2027,High school students in grades 9-12 (or equivalent) who win top honors at a Society-affiliated science fair; must not have graduated high school before the fair; U.S. and international students eligible,Entry is via affiliated fairs; costs vary by fair (many are free or low-cost with small registration fees) - no fee to compete at ISEF itself,"More than $7 million in awards and prizes (2026), including top awards up to $75,000 plus many category and special awards","Requires an original research project entered through an affiliated fair - register early because fair deadlines vary by region (CT regional fairs typically occur in early spring). Winning a top award at the local fair earns the invitation to ISEF. Many ISEF finalists also enter Regeneron STS in senior year, so the same project can feed both.",https://www.societyforscience.org/isef/,societyforscience.org/isef/ (fetched 2026-08-03)
We the People: The Citizen and the Constitution (National Finals),law_civics,🟢 Watch List,Enroll via school/state coordinator in Fall 2026; state competitions Dec 2026 - Feb 2027; National Finals ~April 2027,Grades 9-12 (high school level),Free program - curriculum funded by grants; schools cover travel to state/national events,Grant support available to reduce barriers to attending National Finals (Carnegie grant announced 2026),Deep constitutional law study with rigorous simulated congressional hearings - widely respected by admissions; virtual National Invitational also offered. Check CT state coordinator via civiced.org.,https://www.civiced.org/we-the-people,"Verified civiced.org, 2026-08-03"
Yale Model Congress (YMC),law_civics,🟢 Watch List,"Registration opens ~Sept 2026 for the Dec 2026 conference; 2025 delegation fee was due by early Oct (before Oct 6, 2025) to avoid $50 late fee - expect similar for 2026",Grades 9-12 (high school delegates),"$140 school delegation fee + $130 per delegate (2025 rates); hotel extra (Omni New Haven, ~$200/night shared)",Not specified,"32nd annual conference ran Dec 4-7, 2025; 33rd expected early Dec 2026. Closest-to-home Ivy Model Congress for a CT student, and its Supreme Court special program is a standout for law interest.",https://www.yalemodelcongress.org/,"Verified Wikipedia + official YMC payment/join pages, 2026-08-03"
Connecticut YMCA Youth & Government,law_civics,🟢 Watch List,"Cabinet applications due Nov 13, 2026; conference registration due Jan 29, 2027; bill submissions due Feb 5, 2027; State Conference March 4-6, 2027",Grades 9-12 in Connecticut,"$435 (3-4 students per hotel room, includes 2 nights + 5 meals); $575 (2 per room); $750 (private room)","Financial aid application due Feb 5, 2027","Youth in Law is the highlight for a law-interested student - argued before real attorneys. Also offers CONA/NJC national conference self-nominations (due Feb 5, 2027).",https://www.ymcayag.org/ct-hs/,"Verified ymcayag.org/ct-hs/ (2026-27 dates/fees), 2026-08-03"
American Legion National High School Oratorical Contest,law_civics,🟢 Watch List,"CT local post contests typically Dec 2026 - Jan 2027 (e.g., Derby Post 24 held its 2026 local round Jan 15); national finals May 2027 - contact a local CT Legion post now to enter","High school students (grades 9-12, under age 20)",Free to enter,"Scholarships at state ($2,000+) and national ($20,000-$25,000) levels","Requires memorized oration on the Constitution - excellent fit for law/civics interest and a strong public-speaking credential. National finals 2026 began May 16, 2026.",https://www.legion.org/get-involved/youth-programs/oratorical-contest,"Verified legion.org + CT local news (Valley Independent Sentinel, Derby Post 24), 2026-08-03"
High School Moot Court Association (HSMCA) / National Association of Moot Court,law_civics,🟢 Watch List,Qualifiers run Jan-Apr 2027; Nationals May 2027; tournament-specific registration deadlines posted on site,"All high school students (grades 9-12), any background",~$80 per team per qualifying tournament (2026 rate); low-cost camps and coaching available,Not specified,Best national appellate-advocacy option for high schoolers; over 50% of competitors arrive with prior moot court experience. National championship is in person (location TBD for 2027).,https://hsmca.org/,"Verified hsmca.org + register.namcmootcourt.org, 2026-08-03"
Close Up Washington D.C. Program (High School),law_civics,🟢 Watch List,Rolling registration per session; sessions offered fall 2026 through summer 2027 - register early as sessions fill,Grades 9-12 (ages 14-18),"Approx. $1,700-$2,200 for the 6-day DC program (varies by session; confirm current rate in FY27 brochure)",Need-based financial aid available,Non-competitive civic education credential; good Washington exposure for a law-interested student. Parental approval required for minors.,https://www.closeup.org/high-school/programs/,"Verified closeup.org + TeenLife listing, 2026-08-03"
United States Senate Youth Program (USSYP),law_civics,🟢 Watch List,"CT application via CT State Department of Education - state deadlines updated Aug 1, 2026, typically due early-mid October 2026; national deadline for states to submit delegates is Dec 1, 2026","Juniors and seniors (rising juniors/seniors may apply) who currently hold an elected student office (student government, class officer, club president, etc.)",Free - all program expenses paid (Hearst Foundations),"$10,000 college scholarship for every delegate",Highly selective (2 per state) and a top-tier credential for law/public-service interest. CT is in the 2nd Circuit - strong civics ecosystem; ask school counselors now.,https://ussenateyouth.org/,"Verified ussenateyouth.org + CT SDE application PDF, 2026-08-03"
