name,category,tier,deadline,eligibility,cost,aid,notes,url,source,confidence,reason,blocked,http_status,final_url,deadline_found,cost_found,prize_found,verified_at
SAT — August 2026,exams,🟢 Watch List,2026-08-07,All students,68,Fee waivers available for eligible low-income 11th/12th graders covering full cost plus free score sends,"Test date: August 22, 2026. Late registration deadline: August 11, 2026 ($38 late fee). Digital format. Registration: https://satsuite.collegeboard.org/sat/dates-deadlines",https://satsuite.collegeboard.org/sat/dates-deadlines,web,HIGH,site_accessible,False,200,https://satsuite.collegeboard.org/sat/dates-deadlines,True,False,True,2026-05-28T01:05:50.540976+00:00
ACT — September 2026 (projected),exams,🟢 Watch List,2026-08-14,All students,71,Fee waivers available for eligible low-income students (up to 4 free tests),"Projected test date: September 12, 2026. Late registration (projected): August 28, 2026 (+$39 late fee). ACT with Writing costs $97. Official schedule expected spring 2026. Registration: https://www.act.org/content/act/en/products-and-services/the-act/registration.html",https://www.act.org/content/act/en/products-and-services/the-act/registration.html,web,HIGH,site_accessible,False,200,https://www.act.org/content/act/en/products-and-services/the-act/registration.html,False,True,True,2026-05-28T01:05:50.540976+00:00
CLT — February 2026,exams,🟢 Watch List,TBD,11th/12th graders (and adults),60,Fee waivers available for eligible low-income students; one free retake for all testers,"Test date: February 14, 2026. Register at cltexam.com/register. CLT10 ($50) and CLT8 ($45) also available. Accepted by ~250+ colleges including many Christian/classical schools and a growing number of mainstream universities. Registration: https://www.cltexam.com/register/; repeats annually, check for 2027 dates",https://www.cltexam.com/register/,web,HIGH,site_accessible,False,200,https://www.cltexam.com/register/,False,False,False,2026-05-28T01:05:50.540976+00:00
Junior Olympics 2027,fencing,🟢 Watch List,2027-01-14,U.S. Fencing competitive membership required. Born 2007-2011 for Cadet; born 2005-2009 for Junior. Must qualify through regional points or at-large application.,150.0,False,"Registration typically opens Oct-Nov 2026. Early reg ~$150/event, late ~$225. Considered the most prestigious youth national championship.",https://www.usafencing.org/junior-olympics,web,HIGH,site_accessible,False,404,https://www.usafencing.org/junior-olympics,False,False,False,2026-05-28T01:05:50.540976+00:00
Summer Nationals 2026 & July Challenge,fencing,🔴 Action This Week,2026-06-14,Valid USA Fencing competitive membership. Qualification required for Division I and some youth events; Division II/III open to all with membership and appropriate rating.,170.0,False,"Early reg ~$140-170/event, standard ~$200-230/event. Late reg ~$260-310/event. Portland is a travel destination. Register early for best rates.",https://www.usafencing.org/2026-national-championships-july-challenge,web,HIGH,site_accessible,False,404,https://www.usafencing.org/2026-national-championships-july-challenge,False,False,False,2026-05-28T01:05:50.540976+00:00
February NAC 2026 - Cincinnati,fencing,🟢 Watch List,TBD,Valid USA Fencing competitive membership. Open to all fencers with age-appropriate and classification-appropriate events.,150.0,False,"Regular reg $150/event (deadline Jan 28), late $225/event (deadline Jan 31). Admin fee ~$5.25. FIE 1600N mask required for senior events.; repeats annually, check for 2027 dates",https://www.usafencing.org/2025-2026-nac-info,web,HIGH,site_accessible,False,404,https://www.usafencing.org/2025-2026-nac-info,False,False,False,2026-05-28T01:05:50.540976+00:00
March NAC 2026 - Cleveland,fencing,🟢 Watch List,TBD,Valid USA Fencing membership. Y14 for ages 14 and under; Division II for fencers with C rating or below.,85.0,False,"Closest NAC to CT. Driving distance from Connecticut (~7 hours). Estimated cost $75-100 per event (early reg).; repeats annually, check for 2027 dates",https://www.usafencing.org/march-nac,web,HIGH,site_accessible,False,404,https://www.usafencing.org/march-nac,False,False,False,2026-05-28T01:05:50.540976+00:00
April NAC / Division I & Parafencing Nationals 2026 - Richmond,fencing,🟢 Watch List,TBD,Division I requires national points or qualifying result. Junior (U20) is open entry with USA Fencing membership.,150.0,False,Closer to CT than West Coast events. Junior event is open entry. Division I requires qualification but Junior is the main draw for rising 11th graders.; deadline may have passed,https://www.usafencing.org/events-national,web,HIGH,site_accessible,False,200,https://www.usafencing.org/events-national,False,False,False,2026-05-28T01:05:50.540976+00:00
U.S. Fencing Center College Prep Recruiting Camp,fencing,🟡 Prep Now,2026-07-01,High school fencers entering grades 9-12 in Fall 2026. 2025 graduates also eligible.,525.0,False,"$525 includes instruction, college seminar, individual recruiting video, and T-shirt. Camp runs 10am-3pm daily. San Antonio location (flight required from CT).",https://www.usfencingcenter.com/college-prep-recruiting-camp,web,LOW,network_error,True,0,https://www.usfencingcenter.com/college-prep-recruiting-camp,False,False,False,2026-05-28T01:05:50.540976+00:00
Columbia University Fencing National Team Camp 2026,fencing,🟡 Prep Now,2026-07-01,"Competitive fencers, typically ages 13-18 with tournament experience. National Team Camp tier for advanced fencers.",1295.0,False,"Commuter $875, Overnight $1,295 (2025 pricing; 2026 TBD). National Team Camp $1,000 commuter / $1,450 overnight. $30 late fee after May 1. $100 deposit required. One of the top college camps accessible from CT.",https://columbiafencingcamp.com,web,LOW,network_error,True,0,https://columbiafencingcamp.com,False,False,False,2026-05-28T01:05:50.540976+00:00
Candlewood Fencing Center Pre-Nats Competitive Foil Camp,fencing,🔴 Action This Week,2026-06-15,"Fencers of all experience levels, split by weapon and experience. Competitive foil track available.",550.0,False,$550 for Pre-Nats Foil Camp. $600 for regular Norwalk Foil Camp. Local to CT - no travel costs. Private lesson add-ons available for $50.,https://www.candlewoodfencing.com/camps,web,HIGH,site_accessible,False,200,https://www.candlewoodfencing.com/camps,False,False,False,2026-05-28T01:05:50.540976+00:00
Vassar College Prep Fencing Camp 2026,fencing,🟡 Prep Now,2026-07-15,High school fencers grades 9-12 interested in college fencing.,950.0,False,2025 pricing: ~$875-950. Overnight camp at Vassar's campus. Focus on recruiting strategy and college preparation alongside fencing training.,https://www.vassarfencingcamp.com/college-prep,web,LOW,network_error,True,0,https://www.vassarfencingcamp.com/college-prep,False,False,False,2026-05-28T01:05:50.540976+00:00
NYAC Fencing College Prep Camp 2026,fencing,🔴 Action This Week,2026-06-01,High school fencers preparing for college recruiting.,800.0,False,2025 camp was $600-800 range for week. 2026 dates TBD (likely June). One of the most prestigious fencing clubs in the U.S. Travel from CT via train is simple.,https://www.nyacfencingcamps.com/,web,LOW,network_error,True,0,https://www.nyacfencingcamps.com/,False,False,False,2026-05-28T01:05:50.540976+00:00
National Merit Scholarship Program,general_competitions,🟢 Watch List,2026-10-15,U.S. high school juniors (class of 2028); U.S. citizen or permanent resident; must take PSAT/NMSQT in fall of junior year,0,"Up to $2,500 one-time national scholarships; corporate and college-sponsored awards vary","Entry is through the PSAT/NMSQT, administered by College Board. Semifinalists (~16,000) announced September 2027. ~15,000 Finalists. ~7,500 winners. The PSAT is typically taken mid-October.",https://www.nationalmerit.org/s/1758/interior.aspx?sid=1758&gid=2&pgid=424,web,HIGH,site_accessible,False,200,https://www.nationalmerit.org/s/1758/interior.aspx?sid=1758&gid=2&pgid=424,False,True,True,2026-05-28T01:05:50.540976+00:00
Regeneron Science Talent Search (STS),general_competitions,🟢 Watch List,2027-11-10,U.S. high school seniors (class of 2028) and U.S. citizens abroad; must submit original independent research,0,"Top 300: $2,000 (+ $2,000 to school). Top 40 Finalists: min $25,000 + all-expenses trip to DC. Top 10: $40,000-$250,000. Total >$1.8M.","Application opens June 1, 2027. Deadline typically mid-November. Requires: research report, transcript, test scores (optional), essays, recommendations, activities list. Top 300 announced Jan 2028; Top 40 Jan 2028; Finals Week in DC March 2028.",https://www.societyforscience.org/regeneron-sts/,web,HIGH,site_accessible,False,200,https://www.societyforscience.org/regeneron-sts/,False,True,True,2026-05-28T01:05:50.540976+00:00
Davidson Fellows Scholarship,general_competitions,🟢 Watch List,2027-02-10,"Must be 18 or younger as of deadline; U.S. citizen or permanent resident residing in U.S., or on active U.S. military duty overseas",0,"$100,000 (few), $50,000, or $25,000 scholarships",Application opens Fall 2026. Two nominator forms required plus category-specific attachments. Winners must attend in-person/virtual awards ceremony in DC. Two-person teams allowed. 'Outside the Box' category for interdisciplinary work.,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,web,HIGH,site_accessible,False,200,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,False,True,True,2026-05-28T01:05:50.540976+00:00
U.S. Presidential Scholars Program,general_competitions,🟢 Watch List,2028-01-15,U.S. citizen or permanent resident; high school senior graduating Jan-Aug 2028; must take SAT or ACT on or before October 2027,0,Presidential Scholar medallion and recognition; no cash award but carries significant distinction for college admissions,Application opens August 2027. Testing deadline: SAT/ACT must be taken by Oct 2027 (end of junior year). General component students are initially identified via SAT/ACT scores — no initial application needed. CTE requires state nomination. Arts requires YoungArts participation. 1 boy + 1 girl per state + at-large.,https://www2.ed.gov/programs/psp/index.html,web,HIGH,site_accessible,False,404,https://www.ed.gov/programs/psp/index.html,False,True,True,2026-05-28T01:05:50.540976+00:00
U.S. Senate Youth Program (USSYP),general_competitions,🟢 Watch List,2027-10-01,High school junior or senior (class of 2028 or 2029) serving in an elected or appointed student government position for the 2027-2028 school year,0,"$10,000 undergraduate college scholarship (for each of 104 delegates); all-expenses-paid trip to Washington, D.C.","Application process managed by state Departments of Education. Deadline varies by state (typically Sep-Nov 2027). 63rd Annual Program: Washington Week March 2028. Extremely competitive — 2 per state. 62nd program (2026-27) held March 6-9, 2027.",https://www.ussenateyouth.org/,web,HIGH,site_accessible,False,200,https://www.ussenateyouth.org/,False,True,True,2026-05-28T01:05:50.540976+00:00
Prudential Spirit of Community Awards,general_competitions,🟢 Watch List,2027-11-05,U.S. students grades 5-12 (rising 11th grader eligible) who have engaged in volunteer service,0,"State Honorees: $1,000 + engraved silver medallion + expense-paid trip to DC. National Honorees: additional $5,000 + gold medallion + crystal trophy for school/nonprofit","Application opens August 2027, deadline early November 2027. 75 State Honorees (middle + high school per state + DC). 10 National Honorees. Running since 1995. Program is a competitive national award, distinct from the hour-based President's Volunteer Service Award.",https://spirit.prudential.com/,web,LOW,network_error,True,0,https://spirit.prudential.com/,False,False,False,2026-05-28T01:05:50.540976+00:00
Regeneron International Science and Engineering Fair (ISEF),general_competitions,🟢 Watch List,2027-04-01,Grades 9-12 (rising 11th grader eligible); must first compete in and win an ISEF-affiliated regional/state science fair,Varies by affiliated fair (typically $0-$50 for fair registration),"Top award: $75,000. Over $8M total annually. Multiple category awards, special awards, and scholarships from partner organizations.","ISEF 2027 projected for May 2027 (likely 2nd-3rd week). 22 STEM categories. ~1,800 finalists from ~75 countries. Rising 11th grader should start research project summer 2026 and identify local affiliated fair by Fall 2026. ISEF 2026 in Columbus, OH (May 10-15, 2026).",https://www.societyforscience.org/isef/,web,HIGH,site_accessible,False,200,https://www.societyforscience.org/isef/,False,False,True,2026-05-28T01:05:50.540976+00:00
Junior Science and Humanities Symposium (JSHS),general_competitions,🟢 Watch List,2028-01-15,High school students grades 9-12 (rising 11th grader eligible); U.S. citizen or permanent resident,0,"National scholarships up to $12,000; regional awards vary. All-expenses-paid national symposium for regional winners.",Regional deadlines vary (typically Oct-Jan). Rising 11th grader should start research project summer 2026-2027. Administered by National Youth Science Foundation. 5 regional symposia covering the U.S. Winners advance to National JSHS. Website currently being updated for 2027-2028 cycle.,https://www.jshs.org/,web,HIGH,site_accessible,False,200,https://www.jshs.org/,False,True,True,2026-05-28T01:05:50.540976+00:00
Yale Young Global Scholars — Law & Politics (LPC),law_civics,🟢 Watch List,TBD,"Grade 10-11, age 16-18 by program start",6595,Need-based financial aid available (applied within main application),"3 sessions offered Jun-Jul 2026 (similar to 2025 structure). $6,500 tuition + ~$95 application fee. Highly selective. Sessions: ~Jun 22-Jul 4, Jul 6-18, Jul 20-Aug 1. Early Action recommended.; repeats annually, check for 2027 dates",https://globalscholars.yale.edu/programs/law-politics,web,HIGH,site_accessible,False,404,https://globalscholars.yale.edu/programs/law-politics,False,False,True,2026-05-28T01:05:50.540976+00:00
National High School Mock Trial Championship (NHSMTC),law_civics,🟢 Watch List,TBD,High school students on a team that wins its state mock trial championship,1000,Varies by state; some state bar associations offer travel grants,"CT state finals held at CT Supreme Court. Civics First (civicsfirstct.org) runs CT high school mock trial. Staples, Hall, Wilton, Greenwich are top CT programs. 2025 nationals were in Hartford CT; 2026 location TBD.; deadline may have passed",https://nationalmocktrial.org,web,HIGH,site_accessible,False,200,https://nationalmocktrial.org,False,False,False,2026-05-28T01:05:50.540976+00:00
Empire Mock Trial National Championship,law_civics,🟢 Watch List,TBD,High school mock trial teams (grades 9-12),2500,Need-based scholarships available for qualifying teams,"April 17-19, 2026 in Los Angeles, CA. $1,500-$2,500 estimated team fee plus travel/lodging. Competitive invitation/application process. Registration opens fall 2025.; repeats annually, check for 2027 dates",https://www.empiremocktrial.org,web,HIGH,site_accessible,False,200,https://www.empiremocktrial.org,False,False,False,2026-05-28T01:05:50.540976+00:00
National Mock Trial Invitational (NMTI) — Chicago,law_civics,🟢 Watch List,TBD,High school mock trial teams by invitation/application,375,None specified,"Feb 6-8, 2026 in Chicago. $375/team registration + mandatory hotel block (min 5 rooms, 3 nights). Roster cap: 15 students. Run by Intraspect Legal Foundation.; repeats annually, check for 2027 dates",https://www.nmtichicago.com,web,LOW,network_error,True,0,https://www.nmtichicago.com,False,False,False,2026-05-28T01:05:50.540976+00:00
Princeton Model Congress (PMC),law_civics,🟢 Watch List,TBD,High school students (grades 9-12),185,Need-based aid may be available; contact organizers,"Feb 15-18, 2026 at Washington Hilton, Washington DC. $185/student registration fee (covers materials, committees, events). Travel/lodging/meals not included. Session topics include congressional debate, Supreme Court simulation.; repeats annually, check for 2027 dates",https://www.princetonmodelcongress.com,web,HIGH,site_accessible,False,200,https://www.princetonmodelcongress.com,False,False,False,2026-05-28T01:05:50.540976+00:00
Harvard Model Congress (HMC) — Boston,law_civics,🟢 Watch List,TBD,High school students (grades 9-12),300,Some scholarships available; check website,"Late Feb / early Mar 2026 in Boston, MA. ~$200-$300 delegate registration. Hotel packages offered separately. Also has San Francisco, Asia, Middle East, and Europe conferences.; repeats annually, check for 2027 dates",https://www.harvardmodelcongress.org,web,HIGH,site_accessible,False,200,https://www.harvardmodelcongress.org,False,False,False,2026-05-28T01:05:50.540976+00:00
National High School Moot Court Competition (AMCA),law_civics,🟢 Watch List,TBD,"High school students (grades 9-12), teams of 2",250,Some regional hosts offer fee waivers,"Registration opens Aug-Sep. Regional qualifiers Jan-Feb 2026. National Championship Mar-Apr 2026. $150-$300 team fee. Case problem released Sep-Oct. Teams argue both Petitioner and Respondent sides.; repeats annually, check for 2027 dates",https://americanmootcourt.org,web,LOW,network_error,True,0,https://americanmootcourt.org,False,False,False,2026-05-28T01:05:50.540976+00:00
We the People: The Citizen and the Constitution — National Finals,law_civics,🟢 Watch List,TBD,High school students (grades 9-12) on a team that wins state competition,875,Many schools fundraise; state bar associations and grants available,"National Finals Apr 24-28, 2026 at Gaylord National Resort, National Harbor MD. $875/team registration. Total team cost $20k-30k including travel/lodging for 20-25 students. 6 units covering constitutional themes.; repeats annually, check for 2027 dates",https://civiced.org/programs/wtp-high-school,web,HIGH,site_accessible,False,404,https://civiced.org/programs/wtp-high-school,False,True,False,2026-05-28T01:05:50.540976+00:00
Telluride Association Summer Program (TASP),law_civics,🟢 Watch List,TBD,"High school juniors (rising seniors), any country",0,"Fully funded — tuition, room, board, books, field trips, and travel all covered","~3-5% acceptance rate. Application opens Nov 2025. 6 weeks late Jun-early Aug. U.S. and international students eligible. No GPA requirement — looks for intellectual curiosity. Seminars often at Cornell or University of Michigan. Eligible for 2027 summer only.; repeats annually, check for 2027 dates",https://www.tellurideassociation.org/our-programs/high-school-programs/tasp/,web,HIGH,site_accessible,False,404,https://tellurideassociation.org/our-programs/high-school-programs/tasp/,False,True,True,2026-05-28T01:05:50.540976+00:00
YMCA Youth Conference on National Affairs (CONA),law_civics,🟢 Watch List,TBD,High school students who qualify through state YMCA Youth & Government program,1120,Need-based scholarships may be available through local YMCA,"Jun 28-Jul 3, 2026 at Blue Ridge Assembly, Black Mountain, NC. ~$1,120 plus travel. State-level YIG programs run Sep-Apr. Bill proposals, committee hearings, leadership development. CT YMCA Youth & Government contact needed.; deadline may have passed",https://www.ymcayg.org,web,LOW,network_error,True,0,https://www.ymcayg.org,False,False,False,2026-05-28T01:05:50.540976+00:00
Close Up Foundation — Washington DC High School Program,law_civics,🔴 Action This Week,2026-05-01,High school students (grades 9-12),2295,Need-based financial aid up to 50% of tuition; fundraising support available,"4-day, 5-day, and 7-day program options. $2,295 standard 5-day program (2025 pricing; 2026 similar or ~3-5% higher). Includes lodging, meals, program materials, insurance. Registration opens fall 2025. NextGen Roundtable: Decision 2026 also available.",https://www.closeup.org/high-school-programs,web,HIGH,site_accessible,False,404,https://www.closeup.org/high-school-programs,True,False,True,2026-05-28T01:05:50.540976+00:00
APIA Scholarship,scholarships,🟢 Watch List,2027-01-15,"AAPI heritage, high school senior enrolling as degree-seeking undergraduate at U.S. accredited college/university, U.S. citizen/permanent resident.",0.0,"$2,500 to $20,000","Indian American students are eligible as Asian American. Even though need is prioritized, merit and heritage are factors. Strong option given South Asian heritage alignment.",https://apiascholars.org/scholarships/,web,HIGH,site_accessible,False,200,https://apiascholars.org/scholarships/,False,False,True,2026-05-28T01:05:50.540976+00:00
Vincent Chin Scholarship (AALDEF),scholarships,🟢 Watch List,2026-08-01,"Asian American high school senior residing in Connecticut, Massachusetts, New Jersey, or New York. Pursuing higher education.",0.0,"$2,000","Directly available to CT residents. Named after Vincent Chin, civil rights icon. Emphasizes Asian American identity and community engagement in essays.",https://www.aaldef.org/vincent-chin-scholarship,web,HIGH,site_accessible,False,200,https://www.aaldef.org/vincent-chin-scholarship,False,False,True,2026-05-28T01:05:50.540976+00:00
OCA-UPS Gold Mountain Scholarship,scholarships,🟢 Watch List,2027-03-31,"Asian Pacific American (APA) high school senior, first-generation college student (neither parent completed a 4-year degree), U.S. citizen/permanent resident.",0.0,"$2,000",Good fit only if student is first-generation college attendee. Heritage-aligned for Indian American students. Typically opens December-February cycle.,https://www.ocanational.org/scholarships,web,HIGH,site_accessible,False,200,https://www.ocanational.org/scholarships,False,False,True,2026-05-28T01:05:50.540976+00:00
Hindu American Foundation Dharma Digest Scholarship,scholarships,🟢 Watch List,2027-02-14,High school senior planning to attend college in the fall. Must submit essay on Hindu philosophy prompt.,0.0,"$5,000","Strong cultural fit for Indian American Hindu student. Essay-based competition. Deadline typically February. Only one winner per cycle, so competitive but niche audience reduces applicant pool.",https://www.hinduamerican.org/dharma-digest-scholarship,web,HIGH,site_accessible,False,404,https://www.hinduamerican.org/dharma-digest-scholarship,False,False,False,2026-05-28T01:05:50.540976+00:00
Prudential Emerging Visionaries,scholarships,🟢 Watch List,2027-02-05,"Ages 14-18, U.S. citizen/permanent resident, leading a project or initiative addressing a financial or societal challenge.",0.0,"$1,000 to $15,000 plus mentorship and summit",Leadership and community impact focused. Good fit for student with a community service or social entrepreneurship project. No income or ethnicity restrictions.,https://www.prudential.com/emerging-visionaries,web,HIGH,site_accessible,False,404,https://www.prudential.com/emerging-visionaries,False,False,False,2026-05-28T01:05:50.540976+00:00
Elks National Foundation Most Valuable Student Scholarship,scholarships,🟢 Watch List,2026-11-30,"Current high school senior, U.S. citizen, planning to enroll in a four-year U.S. college/university. Judged on scholarship, leadership, and financial need.",0.0,"$4,000 to $30,000 over four years",Large awards pool (500 winners). Financial need is a factor but not exclusive. High-income family may be at disadvantage on need criterion. Still worth applying given 500 award slots.,https://www.elks.org/scholars/scholarships/MVS.cfm,web,HIGH,site_accessible,False,200,https://www.elks.org/scholars/scholarships/MVS.cfm,False,False,True,2026-05-28T01:05:50.540976+00:00
USA Biology Olympiad (USABO) 2027,science_math,🟢 Watch List,2027-01-15,High school students grades 9-12 enrolled in a US school,free,merit,Excellent fit for a biology-interested student. Open Exam is free and administered at school. Should ask biology teacher in Fall 2026 to register as USABO test center. Prepare using Campbell Biology and USABO practice exams. High competitiveness but very achievable with dedicated study. Top 20 make National Finals (all expenses paid).,https://www.cee.org/programs/usa-biology-olympiad-usabo,web,HIGH,site_accessible,False,404,https://www.cee.org/programs/usa-biology-olympiad-usabo,False,False,False,2026-05-28T01:05:50.540976+00:00
Regeneron International Science & Engineering Fair (ISEF) 2027,science_math,🟢 Watch List,2027-02-01,"Grades 9-12, no older than 20; must qualify through an SSP-affiliated fair",free,merit,"Ultimate goal for science fair pipeline. Path: CSEF Jan registration -> CSEF March -> ISEF May. Extremely competitive but very strong signal for college admissions. Start research project ASAP. Consider university mentorship for higher-quality projects. Biology categories include Cellular/Molecular Bio, Microbiology, Biochemistry, Plant Sciences, Animal Sciences.",https://www.societyforscience.org/regeneron-isef/,web,HIGH,site_accessible,False,404,https://www.societyforscience.org/regeneron-isef/,False,False,True,2026-05-28T01:05:50.540976+00:00
AMC 12 A/B 2026,science_math,🟢 Watch List,2026-10-18,High school students in grade 12 or below; must take at a registered school site,varies,none,Strong alignment given student's STEM profile. Register through school in September 2026. Aim for AIME qualification (top ~5%). This is a junior-year opportunity. Consider taking AMC 10 as practice sophomore year if available. Indian American students often perform very well; no ethnic bias concern. Competitiveness for AIME is high but achievable with AoPS preparation.,https://maa.org/amc/explore-amc/competitions/amc-12,web,HIGH,site_accessible,False,404,https://maa.org/amc/explore-amc/competitions/amc-12,False,False,True,2026-05-28T01:05:50.540976+00:00
AIME (American Invitational Mathematics Examination) 2027,science_math,🟢 Watch List,2027-02-11,Invitation only: top ~2.5% AMC 10 scorers or top ~5% AMC 12 scorers,free,none,"This is the follow-on to AMC 12. Not a standalone opportunity — student must first do well on AMC 12. AIME qualification alone is a strong college admissions signal for STEM. AIME score of 7+ is competitive for selective programs. For biology interest, strong math foundation is complementary.",https://maa.org/amc/explore-amc/competitions/aime,web,HIGH,site_accessible,False,404,https://maa.org/amc/explore-amc/competitions/aime,False,False,True,2026-05-28T01:05:50.540976+00:00
Science Olympiad National Tournament 2027,science_math,🟢 Watch List,2026-10-01,"High school students (Div C, grades 9-12); membership is school-based, ~$250-300 per school team",varies,none,"Excellent team-based competition. Biology events include Anatomy & Physiology, Cell Biology, Disease Detectives, Ecology. Good for building broad science knowledge. Requires school team formation — check with teachers. Not as individually prestigious as USABO/ISEF but great for depth and team collaboration experience.",https://www.soinc.org,web,HIGH,site_accessible,False,200,https://www.soinc.org,False,False,True,2026-05-28T01:05:50.540976+00:00
