name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Bar Association High School Mock Trial Competition,law_civics,🟢 Watch List,School registration typically opens in fall for spring competition; 2026-2027 season TBD,Connecticut high school students (grades 9-12) enrolled in participating schools,Free (school-based; minimal materials fees may apply),N/A - free program,IDEAL for CT-based student. Join or start a mock trial team at school. 2026 season had 63 teams. Excellent resume builder. No travel required for CT rounds.,https://www.ctbar.org/members/volunteer-today/civics-education/mock-trial-competitions,Connecticut Bar Association
We the People: The Citizen and the Constitution - Connecticut Competition,law_civics,🟢 Watch List,2026-2027 season registration typically opens fall 2026,High school students enrolled in participating CT schools,Free (school-based curriculum and competition),N/A - free program,VERY PRESTIGIOUS. Top constitutional law competition for high schoolers. National finals in D.C.,https://ctdemocracycenter.org/our-programs/we-the-people/,CT Democracy Center
Yale Model United Nations (YMUN 53),law_civics,🟢 Watch List,Registration typically opens fall 2026 for January 2027 conference,High school students (grades 9-12),Registration fees vary (typically $50-100 per delegate),Limited financial aid available,"Excellent for law/civics interest. January 21-24, 2027. Located in CT - no travel needed.",https://ymun.org/,Yale Model United Nations
High School Moot Court Association (HSMCA),law_civics,🟢 Watch List,"2026-2027 season info TBD. Online moot court camp July 8-10 or August 13-15, 2026.",All high school students (can participate individually without school team),Competition fees (~$100); Moot Court camp ~$200-300,Limited fee waivers available,Excellent option since student can participate individually. Appellate focus differs from mock trial.,https://hsmca.org/,HSMCA
Sonia & Celina Sotomayor Judicial Internship Program - High School Division,law_civics,🟢 Watch List,Summer 2026 deadline was January 2026. Apply late 2026 for summer 2027.,Diverse/underrepresented high school students (focus on NYC area),Free - PAID internship (stipend provided),Fully paid internship program,"EXCELLENT opportunity - paid, prestigious, judicial internship. Ethnic background is a strong fit. Apply fall 2026 for summer 2027.",https://www.scsjip.org/highschooldivision,SCSJIP
National Merit College-Sponsored Scholarships,scholarships,🟢 Watch List,Varies by college. National Merit Finalist status required. Typically finalist notification February 2028.,"National Merit Finalists admitted to and enrolling at sponsoring colleges (e.g., UConn, Yale, USC, Northwestern, etc.)",Free,"Varies by college (some offer full tuition, others provide fixed amounts like $2,000-$10,000 per year)",Some top-tier universities offer large merit packages to National Merit Scholars. Student with 4.0+ GPA aiming at competitive colleges should benefit from this pipeline.; [DEAD: https://www.nationalmerit.org/s/1758/interior.aspx?sid=1758&gid=2&pgid=454],,National Merit Scholarship Corporation
USA Biology Olympiad (USABO),science_math,🟢 Watch List,"School registration: November 8, 2026. Student registration: January 2027. 2027 USABO opens August 1, 2026.","High school students (Grades 9-12), US citizens or legal permanent residents for Semifinal onward. Open Exam open to all US residents.","Free for students. School registration fee: $125 (due October 30, 2026).",All USABO program costs for finalists are covered by CEE.,Top 20 finishers advance to National Finals. Top 4 represent USA at IBO. Extremely prestigious for biology-focused students. Rising 11th graders are ideal candidates.,https://usabo-trc.org/,https://usabo-trc.org/usabo-guidelines-and-eligibility
AMC 10/12 (American Mathematics Competitions),science_math,🟢 Watch List,"AMC 10A/12A: November 5, 2026. AMC 10B/12B: November 13, 2026. Regular registration deadline: mid-October 2026. Late registration: late October 2026 ($115).",AMC 10: Students in grade 10 or below and under 17.5 years. AMC 12: Students in grade 12 or below and under 19.5 years.,"Approximately $75 per student regular registration, $115 late registration.",Fee waivers available through schools for eligible students.,"Gateway to AIME, USAMO, and IMO. Strong performance is a major college admissions boost for STEM. Register through school competition manager.",https://maa.org/student-programs/amc/,https://maa.org/amcreg/
AIME (American Invitational Mathematics Examination),science_math,🟢 Watch List,AIME I: Early February 2027. AIME II: Mid-February 2027. Invitation only based on AMC 10/12 scores.,Top ~2.5% of AMC 10 scorers and top ~5% of AMC 12 scorers.,No additional fee for invited students (covered by AMC registration).,"None needed — invitation-only, no cost.",Exceptional AIME performance leads to USAMO qualification. Crucial for students targeting top STEM colleges.,https://maa.org/maa-invitational-competitions/,https://maa.org/maa-invitational-competitions/
Science Olympiad (Division C),science_math,🟢 Watch List,"2027 National Tournament: The Ohio State University, May 2027. Local/state tournaments run Sept 2026 - April 2027. Team registration typically opens September 2026.",Division C: High school students (grades 9-12). Must be on a registered team through a school.,State registration fees vary (typically $100-$300 per team). National membership: included with state registration. Invitationals may charge separate fees.,Limited aid may be available through state chapters.,Biology-heavy events make this ideal for bio-focused students. Top teams at state level qualify for nationals at Ohio State in 2027.,https://www.soinc.org/,https://www.soinc.org/future-national-tournaments
Connecticut High School Science & Humanities Symposium (CT HSSHS / CT JSHS),science_math,🟢 Watch List,"2026 event: February 28, 2026 (Saturday). Pre-week online poster exhibition: February 23-27, 2026. Registration deadline for presenters: TBA for 2027 (likely January 2027).",High school students (grades 9-12) in Connecticut. Must submit original research. US citizenship or permanent residency required for national-level competition.,Free to participate.,"National JSHS offers scholarships up to $12,000 for top winners.",Tri-service (Army/Navy/Air Force) sponsored. Less competitive than ISEF but excellent experience for science communication. Connect with UConn researchers.,https://ctjshs.com/,https://health.uconn.edu/connecticut-area-health-education-center-network/ct-high-school-science-and-humanities-symposium/
Breakthrough Junior Challenge,science_math,🟢 Watch List,"Applications open May 2026. Submission deadline: September 15, 2026.",Ages 13-18. Open globally. No US citizenship required.,Free to enter.,"Grand prize: $250,000 college scholarship. Teacher: $50,000. School: $100,000 science lab. Also runner-up and regional prizes.","Great for creative science communication. Biology topics welcome. Can showcase deep understanding of a complex concept. Winner gets $250,000 scholarship.",https://breakthroughjuniorchallenge.org/,https://breakthroughjuniorchallenge.org/
MIT THINK Scholars Program,science_math,🟢 Watch List,"Applications open November 1, 2026. Deadline: January 1, 2027. Winners announced in February/March.",All high school students (grades 9-12) with permanent residence in the United States.,Free to apply.,"Up to $1,000 project grant per winner (~6 winners/year). Mentorship from MIT students.",Excellent opportunity to get MIT mentorship and funding for a research project. Low-competition relative to prestige.; [DEAD: https://think.mit.edu/],,http://think.mit.edu/
National Science Bowl (NSB),science_math,🟢 Watch List,2027 National Finals: typically late April/early May 2027. Regional competitions run January-March 2027. Registration opens fall 2026.,High school division: grades 9-12. Must form a 4-person team through a school.,Free to participate. Regional events may have modest fees. Travel to nationals is DOE-sponsored for winning teams.,DOE sponsors travel and lodging for national finalists.,Prestigious DOE competition. Strong resume builder. Regional competitions in CT area. National finals in Washington DC.,https://science.osti.gov/wdts/nsb,https://science.osti.gov/wdts/nsb/Key-Dates
USA Computing Olympiad (USACO),science_math,🟢 Watch List,"Rolling registration (create account any time). 2026-2027 season contests: December 2026, January 2027, February 2027, US Open March/April 2027.","All high school students (grades 7-12). Open internationally for contests, but IOI selection is US-only.",Free.,No cost involved.,"Not biology-specific, but computational skills increasingly important in biology research. Free and flexible schedule.",https://usaco.org/,https://usaco.org/
Research Science Institute (RSI),summer_programs,🟢 Watch List,"January 15, 2027 (applications open ~November 2026)",Rising high school seniors (current juniors at time of application). Exceptional academic ability in math/science.,"Free (all costs covered including room, board, tuition, supplies)",Fully funded - no cost to participants,Biology research available. Student's Indian American background and strong academics (4.0+ GPA) would be competitive. Apply early fall 2026.,https://www.cee.org/programs/research-science-institute,cee.org
Summer Science Program (SSP),summer_programs,🟢 Watch List,"~February 20, 2027 (applications open December 2026)",Current high school juniors (rising seniors at program start). Strong math/science background.,"$9,800-$11,800 (maximum fee; sliding scale financial aid covering up to 100% of need)",Comprehensive financial aid meeting 100% of demonstrated need including travel,Biochemistry track is ideal for biology interest. ~4-5% acceptance rate. Open to US and international students.,https://ssp.org/,ssp.org
Stanford Institutes of Medicine Summer Research Program (SIMR),summer_programs,🟢 Watch List,"~February 22, 2027",Current high school juniors or seniors. Must be 16+ by program start. US citizenship or permanent residency.,Free (tuition-free research internship),Students receive a stipend; program is tuition-free,"Excellent for biology interest with tracks in cancer biology, neuroscience, stem cell biology, immunology.",https://simr.stanford.edu/,simr.stanford.edu
Yale Young Global Scholars (YYGS),summer_programs,🟢 Watch List,"Early Action: ~October 15, 2026; Regular Decision: ~January 15, 2027",Current high school sophomores or juniors. Must be at least 16 years old by program start.,"~$6,500 (all-inclusive: tuition, room, board, activities)",Need-based financial aid available (up to 100% of tuition),"Located at Yale in New Haven, CT - perfect for CT-based student. EA deadline in October 2026.",https://globalscholars.yale.edu/,globalscholars.yale.edu
NIH High School Scientific Training and Enrichment Program (HiSTEP),summer_programs,🟢 Watch List,~February 2027 (opens mid-November 2026),Current high school juniors. Must be US citizen or legal permanent resident. Must be at least 17 by mid-June.,Free (paid internship),"Paid stipend (~$2,530+ for summer); no cost to attend","Excellent for biology interest. Located in Bethesda, MD - accessible from CT. Paid program.",https://www.training.nih.gov/research-training/pb/sip/,training.nih.gov
Simons Summer Research Program,summer_programs,🟢 Watch List,"~February 8, 2027 (school nomination deadline ~late January)",Current high school juniors (rising seniors). Must be nominated by their school. US citizens or permanent residents.,Free (participants receive a stipend of $750),Fully funded with $750 stipend,"Located on Long Island, accessible from CT. $750 stipend.",https://www.stonybrook.edu/simons/,stonybrook.edu/simons
Broad Summer Scholars Program (BSSP),summer_programs,🟢 Watch List,~January 2027 (typically mid-January),"Rising high school seniors. Must attend MA high school within commuting distance of Cambridge, MA.","Free ($3,600 stipend plus partial transportation reimbursement)","$3,600 stipend plus partial reimbursement for transportation costs","Excellent for biology/genomics interest. $3,600 stipend. Located in Cambridge, MA.; [URL may block bots: https://www.broadinstitute.org/partnerships/education/k-12-outreach/broad-summer-scholars-program]",https://www.broadinstitute.org/partnerships/education/k-12-outreach/broad-summer-scholars-program,broadinstitute.org
"Jackson Laboratory Summer Student Program (Farmington, CT)",summer_programs,🟢 Watch List,"~January 26, 2027",High school seniors (graduating) and undergraduates.,"Free (all expenses covered; $7,000 stipend plus room/board/travel)","$7,000 stipend plus room, board, and travel","Farmington, CT location is ideal for CT-based student. $7,000 stipend is generous.",https://www.jax.org/education-and-learning/high-school-students-and-undergraduates/learn-earn-and-explore,jax.org
University of Pennsylvania Carey Law School Pre-College Academy,summer_programs,🟢 Watch List,Rolling admissions (typically opens ~December 2026; fills quickly),Current high school students (typically rising juniors and seniors). Strong academic record.,"$9,899 (residential) / $6,299 (commuter)",Limited financial aid may be available,Ideal for law interest. Held at an Ivy League law school. 3-week program in July.,https://www.law.upenn.edu/academics/legaleducationprograms/pre-college-summer.php,law.upenn.edu
Telluride Association Summer Seminar (TASS),summer_programs,🟢 Watch List,~January 2027 (applications open ~November 2026),Current high school sophomores and juniors. Open to US and international students.,"Free (all expenses covered including tuition, room, board, books, and travel)",Fully funded - no cost to attendees,Excellent for law interest. Fully funded. Held at Cornell - accessible from CT.,https://tellurideassociation.org/our-programs/high-school-students/,tellurideassociation.org
Scholastic Art & Writing Awards,writing_humanities,🟢 Watch List,Opens October 2026 for 2027 awards; regional deadlines vary Dec-Jan 2027,"Grades 7-12 (US, Canada, American schools abroad)",Free ($10 entry fee per individual entry for non-early),Scholarships and cash prizes for national winners; National Student Poets Program eligible for Gold Key poetry winners (grades 10-11),Highly prestigious college admissions value. National medals are extremely competitive (~1% of 300K+ entries).,https://www.artandwriting.org/,https://www.artandwriting.org/awards/how-to-enter/calendar/
National History Day (NHD),writing_humanities,🟢 Watch List,School/regional contests fall 2026-spring 2027; CT state contest typically March 2027; National contest June 2027,"Grades 6-12, public/private/homeschool",Free,Prizes at state and national level; scholarships and recognition,Excellent for students interested in historical research and writing. Well-regarded by colleges.,https://nhd.org/en/contest/,https://nhd.org/en/contest/national-contest/
YoungArts National Arts Competition (Writing),writing_humanities,🟢 Watch List,"2027 competition opens July 21, 2026; closes October 6, 2026 at 8 PM ET","Ages 15-18 (or grades 10-12), US-based",Free,"Cash prizes up to $10,000; mentorship; college scholarships",Very prestigious arts competition. Writing discipline includes multiple categories. Finalists receive significant prize money.,https://youngarts.org/discipline/writing/,https://youngarts.org/apply/
John F. Kennedy Profile in Courage Essay Contest,writing_humanities,🟢 Watch List,"Early January 2027 (2027 deadline TBD, likely Jan 2027)",US high school students grades 9-12,Free,"First place: $10,000 + trip to Boston; Second place: $3,000; Five finalists: $1,000 each",Prestigious essay contest linked to JFK Library. Great for students interested in government and history.; [URL may block bots: https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest],https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest,https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest
Princeton University Ten-Minute Play Contest,writing_humanities,🟢 Watch List,Typically March-April 2027,Only 11th grade students (US or international),Free,First place: $500; Second place: $250; Third place: $100,Exclusive to 11th graders. Princeton-sponsored. Great for students interested in playwriting.,https://arts.princeton.edu/about/opportunities/high-school-contests/ten-minute-play-contest/,https://arts.princeton.edu/about/opportunities/high-school-contests/
Leonard L. Milberg '53 High School Poetry Prize (Princeton),writing_humanities,🟢 Watch List,Typically October-November annually (likely Nov 2026),Only 11th grade students (US or international),Free,First prize: $500; Second prize: $250; Third prize: $100,Princeton-branded. Excellent for poetry-focused students. Strong college admissions signal.,https://arts.princeton.edu/about/opportunities/high-school-contests/,https://arts.princeton.edu/about/opportunities/high-school-contests/
New York Times Student Writing Contests,writing_humanities,🟢 Watch List,"Multiple deadlines throughout the year. Summer Reading: June 5 - Aug 14, 2026.",Ages 13-19 (must be in middle or high school),Free,Winners published in The New York Times Learning Network,NYT name recognition is excellent. Multiple categories. Low-stakes way to build a publication record.,https://www.nytimes.com/spotlight/learning-contests,https://www.nytimes.com/2025/07/23/learning/our-2025-26-student-contest-calendar.html
National Student Poets Program (NSPP),writing_humanities,🟢 Watch List,Through Scholastic Awards process (Gold Key winners invited to apply),Grades 10-11 who receive a Gold Key in Scholastic poetry,Free,"National recognition; $5,000 academic award; service year with travel",Extremely prestigious. Only 5 selected nationally. Amanda Gorman was a National Student Poet.,https://www.artandwriting.org/programs/national-student-poets-program/,https://www.artandwriting.org/programs/national-student-poets-program/
John Locke Institute Global Essay Prize,writing_humanities,🟢 Watch List,"2027 cycle typically opens February 2027, registration May, submission June",Under age 19 as of submission deadline,Free,"Grand Prize: 10,000 + publication + Oxford ceremony",Highly prestigious international competition. Oxford ceremony is notable honor.,https://www.johnlockeinstitute.com/essay-competition,https://www.johnlockeinstitute.com/essay-competition
Bennington College Young Writers Awards,writing_humanities,🟢 Watch List,"Typically November 1 annually (likely Nov 1, 2026)",High school students worldwide (grades 9-12),Free,"First place: $1,000; Second place: $500; Third place: $250. Full-tuition scholarships for winners who enroll.","Bennington has a strong literary legacy (12 Pulitzer winners, 3 US Poet Laureates).; [DEAD: https://www.bennington.edu/admissions-aid/young-writers-awards]",,https://www.bennington.edu/admissions-aid/young-writers-awards
Foyle Young Poets of the Year Award,writing_humanities,🟢 Watch List,"July 31, 2026 (midnight BST)","Ages 11-17 as of July 31, 2026",Free,"Top 15 winners receive mentoring from established poets, publication",Major international poetry competition. Free to enter.,https://poetrysociety.org.uk/competitions/foyle-young-poets-of-the-year-award/,https://foyleyoungpoets.org/
